,file,min KS,max KS,mean KS,std KS
0,EtOH_moldyn_data_500.xyz,1.0,1.0,1.0,0.0
1,EtOH_moldyn_data_700.xyz,5.701310091809416e-80,0.1399893393175503,0.017498721708610634,0.04949368362480844
2,Speed_up_ethanol12_2_700.xyz,2.3522279210581024e-170,0.005992586144690505,0.0012024262272392256,0.0023045923920728944
3,SVD_not_regularized12_2_500.xyz,1.8260141667658835e-47,0.05326353549079588,0.009383192908537136,0.019301519411906224
4,SVD_not_regularized15_4_500.xyz,0.0,0.0004889640449668006,0.00011754369137874005,0.00021737962167212545
5,SVD_not_regularized15_4_700.xyz,1.7448873513219827e-167,2.9242963936192095e-06,3.6582531023888915e-07,1.0337785692655144e-06
6,SVD_regularized12_2_500.xyz,6.789006482994014e-28,0.15257323227770814,0.02818416246381637,0.05386687734943651
7,SVD_regularized12_2_500_v2.xyz,6.111285478858898e-277,1.1392766416363457e-07,1.4437662867543787e-08,4.020380178670321e-08
8,SVD_regularized12_2_700.xyz,3.945932377084602e-17,0.006349994631503901,0.0012346573062810046,0.002222252749942305
9,SVD_regularized12_2_700_v2.xyz,9.459097161244307e-169,2.4649378279617782e-11,3.0842244465288077e-12,8.713642117531977e-12
10,SVD_regularized15_4_500.xyz,2.848166044828108e-57,4.975762544946353e-07,6.219717498067427e-08,1.759197140067715e-07
11,SVD_regularized15_4_700.xyz,8.373090207508583e-183,5.471769320296474e-05,6.840408300146485e-06,1.9345344566634118e-05
12,Velverlet_12_500.xyz,0.0,2.6787883650795746e-06,4.025835941871109e-07,9.26229997687603e-07
13,Velverlet_12_700.xyz,0.0,2.381207222663173e-06,2.9765090283312515e-07,8.41883887277665e-07
