,file,"0, 1","std 0, 1","0, 4","std 0, 4","0, 5","std 0, 5","0, 3","std 0, 3","1, 2","std 1, 2","1, 6","std 1, 6","1, 7","std 1, 7","2, 8","std 2, 8"
0,EtOH_moldyn_data_500.xyz,1.6140524519040473,0.0004924454022827314,1.209624240890025,0.0004873632033378836,1.2102940204380648,0.00046192311053879523,1.2090034944580828,0.00048426825398258593,1.5394132875412172,0.0004909771646614934,1.226171621803141,0.0004278231931667233,1.2214950940900222,0.0003862695586322182,1.1210710983233472,0.0006160928062312009
1,EtOH_moldyn_data_700.xyz,1.6051630663262608,0.00040276856028092204,1.2112817323483387,0.0005671314155607129,1.2097447019635605,0.0005407486138570614,1.208104579041097,0.0005004930259512007,1.5338385011861153,0.0003836399841964329,1.225042780198351,0.0004212858212805051,1.2251627076562885,0.0003898118699356932,1.1254987413514448,0.0007121120455647621
2,Speed_up_ethanol12_2_700.xyz,1.617173492226851,0.0005463511581130054,1.2097211064183055,0.0005001992101918158,1.210637537883895,0.0005361375763271945,1.207861497670342,0.000445319894120854,1.5420850323678355,0.0005954830036001153,1.2252879182022278,0.0004701802108220062,1.2258218560938205,0.00045505410276526,1.1144171859050551,0.0005012084719824893
3,SVD_not_regularized12_2_500.xyz,1.6209415704636116,0.00046210802196641943,1.2105068821435692,0.0003975271417304579,1.210278368732604,0.00039098318402542415,1.2115147834161397,0.00041835338347552114,1.545957202776346,0.00044280178946988236,1.2269936083270137,0.00039168088230798475,1.2277853009562771,0.00039878991420891184,1.1235920022061516,0.00048424223160863344
4,SVD_not_regularized15_4_500.xyz,1.6194547714091065,0.00039773819150257586,1.210764122895008,0.0003430837184628764,1.2109651712459213,0.00035773176387111244,1.209665771419182,0.00032952589319939964,1.5424219982029705,0.0003755902256151087,1.23242113170107,0.0004203429599671252,1.2435645672681832,0.0005447148326109252,1.1294043454670555,0.0005375945096024538
5,SVD_not_regularized15_4_700.xyz,1.614064832750792,0.0003684937609057078,1.2165843048831488,0.0004576086875574277,1.2194189335169665,0.0004951187123245488,1.2173076775647984,0.00046624980205498413,1.5405321641756602,0.00038364789710745325,1.2286778281203927,0.0003272811193394905,1.226651155068665,0.00031777778769929895,1.1184455436353384,0.00040369253980130704
6,SVD_regularized12_2_500.xyz,1.616170556108946,0.0019507821428631118,1.205588064245565,0.0013118506275256398,1.2068875201936835,0.0015115844244862218,1.20858816094343,0.0015345276892983985,1.5381554910931703,0.0013729849453046848,1.2263307139788777,0.0015138019068765653,1.2250236315309808,0.001453984949346507,1.129097139569972,0.0023402728235876486
7,SVD_regularized12_2_500_v2.xyz,1.624247341809668,0.00037504818465674454,1.2139135428295325,0.0003586839325934843,1.2152722027827991,0.00038313447799654657,1.2133252400286607,0.0003564947771094538,1.5449630116725146,0.00037713182302356754,1.2311672584362412,0.0003892113493655091,1.2290897182100087,0.0004035252684205995,1.1165917569751107,0.00034066748347705045
8,SVD_regularized12_2_700.xyz,1.605013489056253,0.0011329288227503384,1.208254106857612,0.0016511790841182597,1.2114434716950175,0.001854991933905085,1.2073884461802136,0.0016428353438200972,1.5359854583610006,0.0015177883150030728,1.2297087674740002,0.0016081366814595154,1.2275855300308118,0.0013888098725115046,1.124219587059483,0.002191241791548479
9,SVD_regularized12_2_700_v2.xyz,1.6173459950128362,0.0003234733008243485,1.2102541436831618,0.000321043103301603,1.2094054055437258,0.0003006111756116822,1.209870065918502,0.0003018704411487297,1.5416698107125935,0.00034114314765622413,1.2302662666619437,0.0003799020422588684,1.2320283154682299,0.00040684142034186257,1.122281764423353,0.00041962988669947066
10,SVD_regularized15_4_500.xyz,1.6266918227921487,0.00043766064796103957,1.2165276877302031,0.0004175076945107794,1.214797334081521,0.0003926663692358738,1.2161573995345674,0.0004185278930508627,1.5488830262778488,0.0004454076048586241,1.2274056257820398,0.0003063167955849125,1.2257810184374947,0.00029602585547810876,1.1267803034307113,0.0004886722656326498
11,SVD_regularized15_4_700.xyz,1.6197609125702954,0.00037258596835579614,1.21497020387072,0.00041389026396011194,1.2149496340999364,0.00041980755930872045,1.2158377216656684,0.00043212604845473086,1.5430172417725394,0.00036471423527306023,1.2299360227334382,0.00036577717241134883,1.2271242854925484,0.00032820995454258976,1.1160056238660911,0.0003384467423035228
12,Velverlet_12_500.xyz,1.616330865095931,0.0004126630467702227,1.2076476690118532,0.00037322149188894475,1.2079450881753457,0.0003811602840428361,1.20651450461329,0.00031283928281178097,1.5428737513483357,0.0004162269384296834,1.2246704900273397,0.0003258078409478709,1.2242307859765322,0.00032085110242702653,1.115838801490851,0.00032088545405481683
13,Velverlet_12_700.xyz,1.6114969326596058,0.0003588268924197394,1.211725956794369,0.00047015702697369375,1.2098611406411628,0.00042759242831514883,1.2113481901353589,0.0004638340367418193,1.535976943294343,0.0003393476211742907,1.2227720719590844,0.0002476214619243986,1.2230560074981296,0.00022886698887830323,1.109963797766689,0.0003273679984266316
